StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q4,Q3,Q5,Q5_9_TEXT,Q6,Q6_1_TEXT,Q8,Q9,Q10,Q11,Q12,Q12 - Topics
0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,test@test.gif,test22,Junior,Drums,,No,,Yes,Yes,No,No,Ope,0
0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,test@test.gif,test23,Junior,Drums,,No,,Yes,Yes,Yes,No,Ope,0
0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,test@test.gif,test24,Junior,Other,,No,,Yes,No,No,No,Ope,0
0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,test@test.gif,test25,Junior,Other,,No,,Yes,Yes,No,No,Ope,0
0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,test@test.gif,test26,Junior,Other,,No,,Yes,Yes,No,No,Ope,0
0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,test@test.gif,test27,Junior,Other,,No,,Yes,Yes,Yes,No,Ope,0
0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,test@test.gif,test28,Junior,Other,,No,,Yes,Yes,Yes,No,Ope,0
0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,test@test.gif,test29,Junior,Trumpet 1,,No,,Yes,Yes,Yes,Yes,Ope,0
0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,test@test.gif,test30,Junior,Trumpet 3,,No,,Yes,Yes,Yes,Yes,Ope,0
0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,test@test.gif,test31,Junior,Trombone 2,,No,,Yes,Yes,Yes,Yes,Ope,0
0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,test@test.gif,test32,Junior,Tuba,,No,,Yes,Yes,Yes,Yes,Ope,0
0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,test@test.gif,test33,Junior,Drums,,No,,Yes,Yes,Yes,Yes,Ope,0
0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,test@test.gif,test34,Junior,Other,,No,,Yes,Yes,Yes,Yes,Ope,0
0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,test@test.gif,test35,Junior,Other,,No,,Yes,Yes,Yes,Yes,Ope,0
